movie_title,gross,total_gross,theaters
The Florida Project,5297299,5904366,229
Your Name.,5017246,5017246,311
Office Christmas Party,4952318,54767494,3210
A Beautiful Planet,4676580,15650615,155
Tiger Zinda Hai,4572231,5560921,299
Call Me by Your Name,4516120,18095701,914
The Book of Henry,4504974,4504974,650
Stronger,4211129,4211129,645
The Hero,4077333,4077333,447
Dangal,4037118,12391761,338
Sleight,3986245,3986245,591
A United Kingdom,3902185,3902185,317
Norman,3814868,3814868,373
Friend Request,3759078,3759078,2573
A Monster Calls,3676757,3740823,1523
Table 19,3614896,3614896,868
Their Finest,3603484,3603484,330
Phoenix Forgotten,3600146,3600146,1626
Trolls,3576772,153707064,4066
An Inconvenient Sequel: Truth to Power,3496795,3496795,556
Til Death Do Us Part,3455268,3455267,562
Raees,3262954,3262954,265
Close Encounters of the Third Kind,3100479,3100479,901
Colossal,3029287,3029287,327
Ingrid Goes West,3024308,3024308,647
Leap!,2844490,2844490,237
The Oscar Nominated Short Films 2017: Live Action,2835355,2835355,272
Kedi,2835047,2835047,130
Doctor Strange,2765583,232641920,3882
Hacksaw Ridge,2746401,67209615,2971
Wolf Warrior 2,2721100,2721100,53
My Cousin Rachel,2716368,2716368,531
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,2620183,2620183,532
A Question of Faith,2587072,2587072,661
Is Genesis History?,2570392,2570392,704
Disneys Newsies: The Broadway Musical!,2545060,2545060,780
IN OUR HANDS: Battle for Jerusalem,2534370,2534370,733
Do It Like An Hombre,2534252,2534252,382
LBJ,2470979,2470979,659
Tulip Fever,2455635,2455635,772
I Tonya,2433462,30014539,1450
T2 Trainspotting,2402004,2402004,331
Pokémon the Movie: I Choose You!,2401722,2401722,789
The Salesman,2391000,2402067,115
Jeepers Creepers III,2335162,2335162,669
The Resurrection of Gavin Stone,2303792,2303792,890
The Killing of a Sacred Deer,2291901,2291901,238
Collide,2280004,2280004,2045
The Lovers,2194521,2194521,443
The Patriarch,2156047,2156047,312
Brads Status,2133158,2133158,453
Paterson,2078820,2152738,70
Good Time,2026499,2026499,721
Badrinath Ki Dulhania,1993259,1993259,156
Everybody Loves Somebody,1915789,1915789,333
